序號,機構名稱,行政區,地址,電話,核定收托人數,實際收托人數,評鑑結果
191,臺北市私立育德興隆托嬰中心,文山區,臺北市文山區興隆路2段61巷6號2樓,(02)29303666,50,50,111-甲
192,臺北市私立芳馨園木柵托嬰中心,文山區,臺北市文山區久康街24巷36號1樓及38號1樓,(02)29386090,32,31,111-甲
193,臺北市私立幸福家托嬰中心(原名稱:臺北市私立恩予文山托嬰中心),文山區,臺北市文山區新光路1段31巷1號1樓,(02)29390678,24,22,111-乙
194,臺北市私立馥葆托嬰中心,文山區,臺北市文山區木新路2段161巷24弄2號1至2樓,(02)29388800,28,26,110-乙
195,臺北市私立愛兒福托嬰中心,文山區,臺北市文山區辛亥路4段252巷8號及8之1號1樓,(02)29311099,19,19,110-甲
196,臺北市私立樂娃兒托嬰中心,文山區,"臺北市文山區羅斯福路6段159巷1弄18號
",(02)29315288,40,40,109-甲
197,臺北市私立陽光夥伴托嬰中心,文山區,臺北市文山區保儀路62之3號1樓及夾層,(02)2939-0290,28,28,110-乙
198,臺北市私立樂萌兒托嬰中心,文山區,臺北市文山區木新路2段11號1樓及2樓,(02)29390569,48,45,110-甲
199,臺北市私立滬江高級中學附設員工子女托嬰中心,文山區,臺北市文山區羅斯福路6段336號,"(02)86631122
",40,28,111-甲
200,臺北市私立艾貝兒托嬰中心,文山區,臺北市文山區汀州路4段199號1樓,(02)29320062,40,37,
201,臺北市私立嘉樂托嬰中心,文山區,臺北市文山區辛亥路7段3之1號,(02)22360369,26,25,
202,臺北市私立貝格爾樂佩托嬰中心,文山區,臺北市文山區一壽街58號1樓,(02)29376901,30,25,
203,臺北市政府社會局委託社團法人台北市兒童托育協會經營管理臺北市文山托嬰中心,文山區,臺北市文山區木柵路1段177號2樓,(02)22361388,40,40,110-優
204,臺北市政府社會局委託中華民國蒙特梭利教師協會辦理臺北市景美托嬰中心,文山區,臺北市文山區羅斯福路6段455巷20、22、26、28號1至2樓及景文街106之1號2樓,(02)86635692,45,45,111-優
205,臺北市政府社會局委託耕莘健康管理專科學校經營管理臺北市興隆托嬰中心,文山區,臺北市文山區興隆路4段105巷49號,(02)29374896,40,40,109-甲
206,臺北市政府社會局委託中華民國蒙特梭利學會經營管理臺北市興華社區公共托育家園,文山區,臺北市文山區興隆路3段125巷6號2樓(興華國小科學樓),(02)22305993,12,12,111-甲
207,臺北市政府社會局委託社團法人新北市大愛關懷協會經營管理臺北市萬隆社區公共托育家園,文山區,臺北市文山區汀州路4段207號1樓,(02)29320443,12,12,111-甲
208,臺北市政府社會局委託社團法人台灣真善美幼兒教育協會經營管理臺北市武功社區公共托育家園,文山區,臺北市文山區興隆路1段68號(武功國小內),(02)29300388,12,12,111-甲
209,臺北市政府社會局委託耕莘健康管理專科學校經營管理臺北市忠順社區公共托育家園,文山區,臺北市文山區興隆路4段109巷30弄6號(老人自費安養中心內),(02)29362221,12,12,111-優
210,臺北市政府社會局委託社團法人台灣真善美幼兒教育協會經營管理臺北市萬芳社區公共托育家園,文山區,臺北市文山區萬和街1號1樓(萬芳國小內),(02)22302627,12,12,111-甲
211,臺北市政府社會局委託社團法人新北市大愛關懷協會經營管理臺北市興隆社區公共托育家園,文山區,臺北市文山區福興路2號1樓(興隆國小蒼松樓1樓),(02)89315966,12,12,111-甲
212,臺北市政府社會局委託社團法人新北市大愛關懷協會經營管理臺北市萬福社區公共托育家園,文山區,臺北市文山區羅斯福路5段170巷32號1樓(萬福國小蒼松樓),(02)29349616,12,12,111-甲
213,臺北市政府社會局委託台北市教保人員協會經營管理臺北市永建社區公共托育家園,文山區,臺北市文山區木柵路1段311巷1號1樓(永建國小內),(02)29392022,12,12,109-甲
214,臺北市政府社會局委託社團法人新北市大愛關懷協會經營管理臺北市辛亥社區公共托育家園,文山區,臺北市文山區辛亥路4段103號2樓(辛亥國小南棟),(02)86631134,12,12,109-甲
215,臺北市政府社會局委託中華民國蒙特梭利教師協會經營管理臺北市溪口社區公共托育家園,文山區,臺北市文山區景福街225號1樓(溪口國小敬業樓),(02)29330337,12,12,111-甲
